image_path,image_name,true_label,true_class,probability_fake,prediction_default,predicted_class
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00005.png,00005.png,0,real,0.05748782679438591,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00011.png,00011.png,0,real,0.051876794546842575,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00012.png,00012.png,0,real,0.8700342178344727,1,fake
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00015.png,00015.png,0,real,0.385894775390625,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00021.png,00021.png,0,real,0.7713057994842529,1,fake
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00024.png,00024.png,0,real,0.04683523252606392,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00027.png,00027.png,0,real,0.945565938949585,1,fake
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00034.png,00034.png,0,real,0.06053131818771362,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00040.png,00040.png,0,real,0.7770329713821411,1,fake
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00045.png,00045.png,0,real,0.9437849521636963,1,fake
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00048.png,00048.png,0,real,0.39103880524635315,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00051.png,00051.png,0,real,0.22013676166534424,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00057.png,00057.png,0,real,0.9590970277786255,1,fake
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00058.png,00058.png,0,real,0.1107436791062355,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00060.png,00060.png,0,real,0.24311386048793793,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00062.png,00062.png,0,real,0.11077635735273361,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00064.png,00064.png,0,real,0.7735521197319031,1,fake
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00065.png,00065.png,0,real,0.8974246978759766,1,fake
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00074.png,00074.png,0,real,0.5656452178955078,1,fake
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00082.png,00082.png,0,real,0.3417454659938812,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00092.png,00092.png,0,real,0.227219820022583,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00093.png,00093.png,0,real,0.49998921155929565,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00098.png,00098.png,0,real,0.0568077452480793,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00100.png,00100.png,0,real,0.49914419651031494,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00103.png,00103.png,0,real,0.6267154812812805,1,fake
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00104.png,00104.png,0,real,0.7787899971008301,1,fake
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00105.png,00105.png,0,real,0.28191131353378296,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00112.png,00112.png,0,real,0.1606794148683548,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00113.png,00113.png,0,real,0.5500859022140503,1,fake
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00114.png,00114.png,0,real,0.9466216564178467,1,fake
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00123.png,00123.png,0,real,0.8496752381324768,1,fake
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00124.png,00124.png,0,real,0.6802639365196228,1,fake
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00125.png,00125.png,0,real,0.12101301550865173,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00130.png,00130.png,0,real,0.1871768981218338,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00135.png,00135.png,0,real,0.9182900190353394,1,fake
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00142.png,00142.png,0,real,0.19436213374137878,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00145.png,00145.png,0,real,0.12797006964683533,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00152.png,00152.png,0,real,0.06657542288303375,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00157.png,00157.png,0,real,0.07545606791973114,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00160.png,00160.png,0,real,0.09212594479322433,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00169.png,00169.png,0,real,0.44104641675949097,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00176.png,00176.png,0,real,0.9185587167739868,1,fake
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00191.png,00191.png,0,real,0.4243978261947632,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00197.png,00197.png,0,real,0.1067085862159729,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00205.png,00205.png,0,real,0.8750057816505432,1,fake
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00210.png,00210.png,0,real,0.8004633784294128,1,fake
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00211.png,00211.png,0,real,0.6796400547027588,1,fake
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00212.png,00212.png,0,real,0.06350498646497726,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00214.png,00214.png,0,real,0.09458589553833008,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00230.png,00230.png,0,real,0.20335173606872559,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00234.png,00234.png,0,real,0.317317396402359,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00247.png,00247.png,0,real,0.09856896847486496,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00258.png,00258.png,0,real,0.9565525650978088,1,fake
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00262.png,00262.png,0,real,0.6336733102798462,1,fake
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00264.png,00264.png,0,real,0.41122791171073914,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00265.png,00265.png,0,real,0.9665434956550598,1,fake
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00269.png,00269.png,0,real,0.9508486390113831,1,fake
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00270.png,00270.png,0,real,0.2613784968852997,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00274.png,00274.png,0,real,0.0952065959572792,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00277.png,00277.png,0,real,0.6915872693061829,1,fake
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00280.png,00280.png,0,real,0.4124235510826111,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00281.png,00281.png,0,real,0.5102218389511108,1,fake
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00286.png,00286.png,0,real,0.9448828101158142,1,fake
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00295.png,00295.png,0,real,0.6188154816627502,1,fake
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00300.png,00300.png,0,real,0.11469389498233795,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00305.png,00305.png,0,real,0.9605730772018433,1,fake
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00306.png,00306.png,0,real,0.36290210485458374,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00311.png,00311.png,0,real,0.787483811378479,1,fake
