image_path,image_name,true_label,true_class,probability_fake,prediction_default,predicted_class
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00005.png,00005.png,0,real,0.0011353943264111876,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00011.png,00011.png,0,real,0.0001740872539812699,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00012.png,00012.png,0,real,0.013064333237707615,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00015.png,00015.png,0,real,0.0007330672233365476,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00021.png,00021.png,0,real,0.01905994676053524,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00024.png,00024.png,0,real,0.0005441808025352657,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00027.png,00027.png,0,real,0.0022426783107221127,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00034.png,00034.png,0,real,0.0016771196387708187,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00040.png,00040.png,0,real,0.5418626666069031,1,fake
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00045.png,00045.png,0,real,6.0100752307334915e-05,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00048.png,00048.png,0,real,0.0013850366231054068,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00051.png,00051.png,0,real,4.039554187329486e-05,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00057.png,00057.png,0,real,0.00011284719221293926,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00058.png,00058.png,0,real,0.0022603999823331833,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00060.png,00060.png,0,real,0.0012854620581492782,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00062.png,00062.png,0,real,0.003034242894500494,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00064.png,00064.png,0,real,0.35555416345596313,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00065.png,00065.png,0,real,0.017485465854406357,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00074.png,00074.png,0,real,0.0008593513048253953,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00082.png,00082.png,0,real,0.0067146033979952335,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00092.png,00092.png,0,real,0.0010104404063895345,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00093.png,00093.png,0,real,0.06837888062000275,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00098.png,00098.png,0,real,0.0008881576941348612,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00100.png,00100.png,0,real,0.5621685981750488,1,fake
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00103.png,00103.png,0,real,0.0016629351302981377,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00104.png,00104.png,0,real,0.005699864123016596,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00105.png,00105.png,0,real,0.0013754382962360978,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00112.png,00112.png,0,real,0.001654937630519271,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00113.png,00113.png,0,real,0.013424084521830082,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00114.png,00114.png,0,real,6.0293004935374483e-05,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00123.png,00123.png,0,real,0.0004921696963720024,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00124.png,00124.png,0,real,0.002156259259209037,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00125.png,00125.png,0,real,0.0006420368445105851,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00130.png,00130.png,0,real,0.008923386223614216,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00135.png,00135.png,0,real,0.00011919043026864529,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00142.png,00142.png,0,real,3.4050528483930975e-05,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00145.png,00145.png,0,real,4.550102312350646e-05,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00152.png,00152.png,0,real,0.0037208173889666796,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00157.png,00157.png,0,real,6.054847835912369e-05,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00160.png,00160.png,0,real,0.0018897410482168198,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00169.png,00169.png,0,real,0.000277259066933766,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00176.png,00176.png,0,real,0.004895010031759739,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00191.png,00191.png,0,real,0.023924637585878372,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00197.png,00197.png,0,real,0.06427661329507828,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00205.png,00205.png,0,real,0.00019924524531234056,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00210.png,00210.png,0,real,0.0003570286789909005,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00211.png,00211.png,0,real,0.1130129024386406,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00212.png,00212.png,0,real,0.0045515806414186954,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00214.png,00214.png,0,real,6.505763303721324e-05,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00230.png,00230.png,0,real,0.0003451530064921826,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00234.png,00234.png,0,real,0.008432910777628422,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00247.png,00247.png,0,real,0.265501469373703,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00258.png,00258.png,0,real,0.00018930975056719035,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00262.png,00262.png,0,real,0.00022378114226739854,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00264.png,00264.png,0,real,0.00979922991245985,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00265.png,00265.png,0,real,0.0007730492507107556,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00269.png,00269.png,0,real,0.0003019563446287066,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00270.png,00270.png,0,real,0.03136312961578369,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00274.png,00274.png,0,real,0.0024758900981396437,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00277.png,00277.png,0,real,0.00598831195384264,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00280.png,00280.png,0,real,0.0017530507175251842,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00281.png,00281.png,0,real,0.03180534765124321,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00286.png,00286.png,0,real,0.019304411485791206,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00295.png,00295.png,0,real,0.0006287001306191087,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00300.png,00300.png,0,real,0.003847700310871005,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00305.png,00305.png,0,real,0.014052716083824635,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00306.png,00306.png,0,real,0.003587899263948202,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00311.png,00311.png,0,real,0.00046219475916586816,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00320.png,00320.png,0,real,5.0551112508401275e-05,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00322.png,00322.png,0,real,0.001334563596174121,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00333.png,00333.png,0,real,0.0001462582586100325,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00335.png,00335.png,0,real,0.021315185353159904,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00336.png,00336.png,0,real,0.09466785192489624,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00339.png,00339.png,0,real,0.005596746690571308,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00347.png,00347.png,0,real,0.010627182200551033,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00348.png,00348.png,0,real,0.09077058732509613,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00360.png,00360.png,0,real,0.007153570652008057,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00361.png,00361.png,0,real,0.0035913733299821615,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00363.png,00363.png,0,real,0.09897558391094208,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00370.png,00370.png,0,real,0.00410366291180253,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00379.png,00379.png,0,real,0.0018213634612038732,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00395.png,00395.png,0,real,9.685441000328865e-06,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00398.png,00398.png,0,real,1.4026588814886054e-06,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00401.png,00401.png,0,real,0.00680121872574091,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00406.png,00406.png,0,real,0.008549781516194344,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00413.png,00413.png,0,real,6.565951480297372e-05,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00415.png,00415.png,0,real,0.013260641135275364,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00420.png,00420.png,0,real,0.0015503886388614774,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00425.png,00425.png,0,real,8.448461449006572e-05,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00431.png,00431.png,0,real,2.919058533734642e-05,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00437.png,00437.png,0,real,0.0014835508773103356,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00438.png,00438.png,0,real,0.0009687684359960258,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00439.png,00439.png,0,real,0.016354404389858246,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00440.png,00440.png,0,real,0.0032945089042186737,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00441.png,00441.png,0,real,8.550192433176562e-05,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00442.png,00442.png,0,real,0.004866167902946472,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00444.png,00444.png,0,real,4.9352987844031304e-05,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00455.png,00455.png,0,real,6.389820191543549e-05,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00458.png,00458.png,0,real,0.14329586923122406,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00462.png,00462.png,0,real,0.004612340591847897,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00469.png,00469.png,0,real,0.0027703263331204653,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00476.png,00476.png,0,real,0.001027823076583445,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00478.png,00478.png,0,real,0.17544607818126678,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00479.png,00479.png,0,real,0.0007700113928876817,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00483.png,00483.png,0,real,0.004159874748438597,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00484.png,00484.png,0,real,0.0007738821441307664,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00495.png,00495.png,0,real,0.25344380736351013,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00499.png,00499.png,0,real,0.044662680476903915,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00504.png,00504.png,0,real,0.006032275501638651,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00507.png,00507.png,0,real,0.0003421560686547309,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00510.png,00510.png,0,real,0.0015150619437918067,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00511.png,00511.png,0,real,0.00849243439733982,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00516.png,00516.png,0,real,0.010633501224219799,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00519.png,00519.png,0,real,0.0033049769699573517,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00537.png,00537.png,0,real,0.010730504989624023,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00538.png,00538.png,0,real,0.00045558769488707185,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00559.png,00559.png,0,real,0.027497978881001472,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00561.png,00561.png,0,real,0.038322046399116516,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00564.png,00564.png,0,real,4.154753696639091e-05,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00565.png,00565.png,0,real,4.7244731831597164e-05,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00570.png,00570.png,0,real,0.0018598462920635939,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00581.png,00581.png,0,real,0.00022021275071892887,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00582.png,00582.png,0,real,2.3407521439366974e-05,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00591.png,00591.png,0,real,0.009533473290503025,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00599.png,00599.png,0,real,0.0015935131814330816,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00601.png,00601.png,0,real,0.004689612425863743,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00609.png,00609.png,0,real,0.0004503136733546853,0,real
