image_path,image_name,true_label,true_class,probability_fake,prediction_default,predicted_class
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00005.png,00005.png,0,real,0.000003,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00011.png,00011.png,0,real,0.000000,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00012.png,00012.png,0,real,0.000000,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00015.png,00015.png,0,real,0.000000,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00021.png,00021.png,0,real,0.000000,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00024.png,00024.png,0,real,0.000000,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00027.png,00027.png,0,real,0.000000,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00034.png,00034.png,0,real,0.002016,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00040.png,00040.png,0,real,0.007170,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00045.png,00045.png,0,real,0.000000,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00048.png,00048.png,0,real,0.000005,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00051.png,00051.png,0,real,0.000000,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00057.png,00057.png,0,real,0.000000,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00058.png,00058.png,0,real,0.000000,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00060.png,00060.png,0,real,0.155834,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00062.png,00062.png,0,real,0.000000,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00064.png,00064.png,0,real,0.000000,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00065.png,00065.png,0,real,0.000002,0,real
C:\Users\diabo\Desktop\FFHQ-FaceFusion-10k\real\00074.png,00074.png,0,real,0.000000,0,real
