image_path,image_name,true_label,true_class,probability_fake,prediction_default,predicted_class
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/fake/fake_08501.png,fake_08501.png,1,fake,0.498404,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/01595.png,01595.png,0,real,0.072959,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/fake/fake_32775.png,fake_32775.png,1,fake,0.529538,1,fake
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/51266.png,51266.png,0,real,0.301869,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/fake/fake_51966.png,fake_51966.png,1,fake,0.366394,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/fake/fake_42645.png,fake_42645.png,1,fake,0.450053,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/28329.png,28329.png,0,real,0.463870,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/23475.png,23475.png,0,real,0.428881,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/15984.png,15984.png,0,real,0.427613,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/04939.png,04939.png,0,real,0.240123,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/00437.png,00437.png,0,real,0.848526,1,fake
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/00152.png,00152.png,0,real,0.527826,1,fake
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/56149.png,56149.png,0,real,0.481186,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/55933.png,55933.png,0,real,0.462791,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/31815.png,31815.png,0,real,0.453793,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/29592.png,29592.png,0,real,0.437341,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/fake/fake_04748.png,fake_04748.png,1,fake,0.082840,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/fake/fake_26826.png,fake_26826.png,1,fake,0.818975,1,fake
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/30427.png,30427.png,0,real,0.258925,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/27921.png,27921.png,0,real,0.381848,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/fake/fake_07419.png,fake_07419.png,1,fake,0.376096,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/00021.png,00021.png,0,real,0.555680,1,fake
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/fake/fake_55999.png,fake_55999.png,1,fake,0.221904,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/fake/fake_30731.png,fake_30731.png,1,fake,0.990608,1,fake
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/00442.png,00442.png,0,real,0.480386,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/48707.png,48707.png,0,real,0.494681,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/fake/fake_38329.png,fake_38329.png,1,fake,0.546941,1,fake
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/fake/fake_48660.png,fake_48660.png,1,fake,0.124701,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/27539.png,27539.png,0,real,0.460950,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/55731.png,55731.png,0,real,0.038781,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/fake/fake_26591.png,fake_26591.png,1,fake,0.271186,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/58106.png,58106.png,0,real,0.400097,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/fake/fake_01602.png,fake_01602.png,1,fake,0.932326,1,fake
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/28712.png,28712.png,0,real,0.461923,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/38186.png,38186.png,0,real,0.747506,1,fake
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/fake/fake_35332.png,fake_35332.png,1,fake,0.743601,1,fake
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/fake/fake_37092.png,fake_37092.png,1,fake,0.202295,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/27784.png,27784.png,0,real,0.377084,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/fake/fake_40606.png,fake_40606.png,1,fake,0.170318,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/26529.png,26529.png,0,real,0.435824,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/28251.png,28251.png,0,real,0.465384,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/30462.png,30462.png,0,real,0.600654,1,fake
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/29987.png,29987.png,0,real,0.518764,1,fake
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/fake/fake_03231.png,fake_03231.png,1,fake,0.217055,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/58543.png,58543.png,0,real,0.221796,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/04977.png,04977.png,0,real,0.290479,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/51019.png,51019.png,0,real,0.500642,1,fake
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/06207.png,06207.png,0,real,0.449986,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/31899.png,31899.png,0,real,0.505556,1,fake
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/27665.png,27665.png,0,real,0.494357,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/fake/fake_03934.png,fake_03934.png,1,fake,0.568240,1,fake
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/fake/fake_01091.png,fake_01091.png,1,fake,0.920871,1,fake
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/21136.png,21136.png,0,real,0.501735,1,fake
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/fake/fake_03956.png,fake_03956.png,1,fake,0.221280,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/19894.png,19894.png,0,real,0.516029,1,fake
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/fake/fake_59927.png,fake_59927.png,1,fake,0.087955,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/fake/fake_13192.png,fake_13192.png,1,fake,0.791602,1,fake
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/30973.png,30973.png,0,real,0.944478,1,fake
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/28547.png,28547.png,0,real,0.468723,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/36703.png,36703.png,0,real,0.355306,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/00601.png,00601.png,0,real,0.584081,1,fake
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/fake/fake_02853.png,fake_02853.png,1,fake,0.802203,1,fake
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/fake/fake_27266.png,fake_27266.png,1,fake,0.440244,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/38117.png,38117.png,0,real,0.370563,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/35772.png,35772.png,0,real,0.490906,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/fake/fake_27579.png,fake_27579.png,1,fake,0.688633,1,fake
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/22474.png,22474.png,0,real,0.491668,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/fake/fake_58777.png,fake_58777.png,1,fake,0.271265,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/27671.png,27671.png,0,real,0.070808,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/44352.png,44352.png,0,real,0.360854,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/51502.png,51502.png,0,real,0.154293,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/fake/fake_00333.png,fake_00333.png,1,fake,0.444052,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/fake/fake_28408.png,fake_28408.png,1,fake,0.819916,1,fake
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/fake/fake_15420.png,fake_15420.png,1,fake,0.566801,1,fake
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/fake/fake_28045.png,fake_28045.png,1,fake,0.999460,1,fake
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/46577.png,46577.png,0,real,0.091958,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/19993.png,19993.png,0,real,0.489067,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/02007.png,02007.png,0,real,0.487263,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/fake/fake_01057.png,fake_01057.png,1,fake,0.049661,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/23752.png,23752.png,0,real,0.421840,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/05918.png,05918.png,0,real,0.468630,0,real
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/real/38688.png,38688.png,0,real,0.560163,1,fake
C:/Users/diabo/Desktop/FFHQ-FaceFusion-10k/fake/fake_30746.png,fake_30746.png,1,fake,0.281340,0,real
